timesteps,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,ARG,South America,Argentina,3/4/2020,1,1,0,0,0.022,0.022,0,0,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
1,ARG,South America,Argentina,3/6/2020,2,1,0,0,0.044,0.022,0,0,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
2,ARG,South America,Argentina,3/7/2020,8,6,0,0,0.177,0.133,0,0,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
3,ARG,South America,Argentina,3/8/2020,9,1,1,1,0.199,0.022,0.022,0.022,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
4,ARG,South America,Argentina,3/9/2020,12,3,1,0,0.266,0.066,0.022,0,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
5,ARG,South America,Argentina,3/11/2020,19,7,1,0,0.42,0.155,0.022,0,,,,,,,,25,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
6,ARG,South America,Argentina,3/13/2020,31,12,1,0,0.686,0.266,0.022,0,,,,,,,,25,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
7,ARG,South America,Argentina,3/14/2020,34,3,2,1,0.752,0.066,0.044,0.022,,,,,,,,25,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
8,ARG,South America,Argentina,3/15/2020,45,11,2,0,0.996,0.243,0.044,0,,,,,,,,25,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
9,ARG,South America,Argentina,3/16/2020,56,11,2,0,1.239,0.243,0.044,0,,,,,,,,41.67,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
10,ARG,South America,Argentina,3/17/2020,65,9,2,0,1.438,0.199,0.044,0,,,,,,,,41.67,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
11,ARG,South America,Argentina,3/18/2020,79,14,2,0,1.748,0.31,0.044,0,,,,,,,,41.67,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
12,ARG,South America,Argentina,3/19/2020,97,18,2,0,2.146,0.398,0.044,0,,,,,,,,75,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
13,ARG,South America,Argentina,3/20/2020,128,31,3,1,2.832,0.686,0.066,0.022,,,,,,,,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
14,ARG,South America,Argentina,3/21/2020,158,30,3,0,3.496,0.664,0.066,0,,,,,,,,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
15,ARG,South America,Argentina,3/22/2020,225,67,4,1,4.978,1.482,0.089,0.022,,,,,,,,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
16,ARG,South America,Argentina,3/23/2020,266,41,4,0,5.886,0.907,0.089,0,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
17,ARG,South America,Argentina,3/24/2020,301,35,4,0,6.66,0.774,0.089,0,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
18,ARG,South America,Argentina,3/25/2020,387,86,6,2,8.563,1.903,0.133,0.044,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
19,ARG,South America,Argentina,3/26/2020,502,115,8,2,11.107,2.544,0.177,0.044,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
20,ARG,South America,Argentina,3/27/2020,589,87,12,4,13.032,1.925,0.266,0.089,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
21,ARG,South America,Argentina,3/28/2020,690,101,17,5,15.267,2.235,0.376,0.111,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
22,ARG,South America,Argentina,3/29/2020,745,55,19,2,16.484,1.217,0.42,0.044,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
23,ARG,South America,Argentina,3/30/2020,820,75,20,1,18.143,1.659,0.443,0.022,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
24,ARG,South America,Argentina,3/31/2020,966,146,24,4,21.374,3.23,0.531,0.089,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
25,ARG,South America,Argentina,4/1/2020,966,0,24,0,21.374,0,0.531,0,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
26,ARG,South America,Argentina,4/2/2020,1133,167,31,7,25.069,3.695,0.686,0.155,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
27,ARG,South America,Argentina,4/3/2020,1133,0,34,3,25.069,0,0.752,0.066,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
28,ARG,South America,Argentina,4/4/2020,1265,132,37,3,27.989,2.921,0.819,0.066,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
29,ARG,South America,Argentina,4/5/2020,1451,186,43,6,32.105,4.115,0.951,0.133,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
30,ARG,South America,Argentina,4/6/2020,1554,103,46,3,34.384,2.279,1.018,0.066,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
31,ARG,South America,Argentina,4/7/2020,1628,74,53,7,36.021,1.637,1.173,0.155,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
32,ARG,South America,Argentina,4/8/2020,1715,87,60,7,37.946,1.925,1.328,0.155,13330,,0.295,,,,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
33,ARG,South America,Argentina,4/9/2020,1795,80,65,5,39.716,1.77,1.438,0.111,14850,1520,0.329,0.034,,,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
34,ARG,South America,Argentina,4/10/2020,1894,99,79,14,41.907,2.19,1.748,0.31,16379,1529,0.362,0.034,,,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
